"89","Reisbach, Niederbayern","48.5715","12.6283","reisbach-niederbayern"
"90","Brüsewitz","53.6833","11.25","br-sewitz"
"91","Kirchensittenbach","49.55","11.4167","kirchensittenbach"
"92","Igersheim","49.4944","9.81694","igersheim"
"93","Freudenberg, Oberpfalz","49.4833","11.9833","freudenberg-oberpfalz"
"94","Schwarzach bei Nabburg","49.4","12.2333","schwarzach-bei-nabburg"
"95","Kaisersbach im Welzheimer Wald","48.9333","9.65","kaisersbach-im-welzheimer-wald"
"96","Birgland","49.4167","11.6333","birgland"
"97","Reichertshausen, Ilm","48.4667","11.5167","reichertshausen-ilm"
"98","Gummersbach","51.0333","7.55","gummersbach"
"99","Tapfheim","48.6782","10.6954","tapfheim"
"100","Geiselwind","49.7667","10.4667","geiselwind"
"101","Oppenweiler","48.9833","9.45","oppenweiler"
"102","Messenkamp","52.2601","9.37974","messenkamp"
"103","Husum, Kreis Nienburg","52.5652","9.25335","husum-kreis-nienburg"
"104","Rossau bei Mittweida","51","13.0667","rossau-bei-mittweida"
"105","Zandt, Oberpfalz","49.15","12.7333","zandt-oberpfalz"
"106","Halle, Kreis Holzminden","51.9912","9.56337","halle-kreis-holzminden"
"107","Jossgrund","50.1792","9.45833","jossgrund"
"108","Menden (Sauerland)","51.4333","7.8","menden-sauerland"
"109","Calau","51.75","13.9333","calau"
"110","Waldachtal","48.5","8.56667","waldachtal"
"111","Dischingen","48.7","10.3667","dischingen"
"112","Nordstemmen","52.1667","9.78333","nordstemmen"
"113","Berghülen","48.465","9.76138","bergh-len"
"114","Oberehe-Stroheich","50.2833","6.76667","oberehe-stroheich"
"115","Reichshof","50.9524","7.70249","reichshof"
"116","Wörth, Kreis Erding","48.2333","11.9","w-rth-kreis-erding"
"117","Tröstau","50.0167","11.95","tr-stau"
"118","Auggen","47.7833","7.6","auggen"
"119","Gnoien","53.9718","12.708","gnoien"
"120","Ilshofen","49.17","9.91889","ilshofen"
"121","Poppenhausen (Wasserkuppe)","50.4833","9.86667","poppenhausen-wasserkuppe"
"122","Dörpen","52.95","7.31667","d-rpen"
"123","Marlow bei Ribnitz-Damgarten","54.15","12.5833","marlow-bei-ribnitz-damgarten"
"124","Heilbronn (Neckar)","49.1403","9.22","heilbronn-neckar"
"125","Stadtlauringen","50.1833","10.3667","stadtlauringen"
"126","Bayreuth","49.9481","11.5783","bayreuth"
"127","Eching, Kreis Freising","48.3","11.6167","eching-kreis-freising"
"128","Berlin","52.5167","13.4","berlin"
"129","Lübtheen","53.3","11.0833","l-btheen"
"130","Krostitz","51.4667","12.45","krostitz"
"131","Biebelried","49.7667","10.0833","biebelried"
"132","Horstedt, Kreis Rotenburg an der Wümme","53.1833","9.23333","horstedt-kreis-rotenburg-an-der-w-mme"
"133","Vienenburg","51.95","10.5667","vienenburg"
"134","Marktredwitz","50.005","12.0811","marktredwitz"
"135","Ebermannsdorf","49.4","11.95","ebermannsdorf"
"136","Pohlheim","50.5167","8.7","pohlheim"
"137","Eisenberg, Allgäu","47.6","10.6","eisenberg-allg-u"
"138","Kandel, Pfalz","49.0892","8.18417","kandel-pfalz"
"139","Dietramszell","47.85","11.6","dietramszell"
"140","Waldenburg (Württemberg)","49.1875","9.64222","waldenburg-w-rttemberg"
"141","Bergisch Gladbach","50.9833","7.13333","bergisch-gladbach"
"142","Molau","51.05","11.7833","molau"
"143","Bergneustadt","51.0333","7.65","bergneustadt"
"144","Dobersdorf, Holstein","54.3183","10.2813","dobersdorf-holstein"
"145","Massen-Niederlausitz","51.65","13.7333","massen-niederlausitz"
"146","Blomberg, Lippe","51.9333","9.08333","blomberg-lippe"
"147","Nordenham","53.5","8.48333","nordenham"
"148","Rott am Inn","47.9833","12.1333","rott-am-inn"
"149","Altenmünster, Schwaben","48.4667","10.6","altenm-nster-schwaben"
"150","Uckerland","53.4569","13.7806","uckerland"
"151","Pilsting","48.7","12.65","pilsting"
"152","Ergoldsbach","48.6833","12.2","ergoldsbach"
"153","Dessau-Roßlau","51.8333","12.25","dessau-ro-lau"
"154","Weste","53.0667","10.7","weste"
"155","Chieming","47.9","12.5333","chieming"
"156","Haldenwang, Allgäu","47.8","10.35","haldenwang-allg-u"
"157","Steinbach am Wald","50.4333","11.3667","steinbach-am-wald"
"158","Boxberg (Baden)","49.4814","9.64028","boxberg-baden"
"159","Rheurdt","51.4667","6.46667","rheurdt"
"160","Rugendorf","50.2","11.4667","rugendorf"
"161","Fichtenau","49.0667","10.2167","fichtenau"
"162","Rattiszell","49.0333","12.6667","rattiszell"
"163","Eichendorf, Niederbayern","48.6333","12.85","eichendorf-niederbayern"
"164","Sontra","51.0667","9.93333","sontra"
"165","Hohenfels, Oberpfalz","49.2","11.85","hohenfels-oberpfalz"
